sentiment,text
positive,"Perfect fit. 2014 durango limited. Super easy to install. Less than 20 min. Drop the spare, undo 4 bolts and put it back together. Heavy-duty."
negative,Better fans out there for the price. Switch was the cheapest I've ever seen.
positive,"This is easy enough to install.  There is a recommended weight limit, and I would suggest adhering to it.  Because, at least for my 2017 S, this attaches to what seems to the the plastic infrastructure behind the headliner, and not the aluminum frame.  So if you pull the hook, you will see how the whole headliner moves with it, so be careful with these."
positive,Great product for dual wheels. Use them on the motor home.
positive,"This thing is amazing. I bought one for my husband, then had to buy one for me. The extended handle allows you to reach across the car, the brush, scraper and the squeegee all work great. It used to take me close to 10 minutes to clean the snow/ice off, now less than 3 minutes."
negative,It's a big blob of a pad for the cargo area. Looks like I put a big black memory foam pad in the back.
positive,"Despite the complaints I've read here about inconsistent weld quality, I do not see any really poor welds... just not great welds. Also, the safety of the stand is not very reliant on the welds. The weight of the vehicle is NOT being held up by welds. The welds are keeping the LATERAL/sideways forces in place but NOT the LONGITUDINAL/vertical forces. The casted parts seem of good quality and I like that a secondary backup 'pin' is included so that TWO teeth in the centre stanchion are engaged. Overall I think this is a pretty safe stand design and implementation."
negative,"Average -- but nice. We used INSIDE our kitchen garbage can, hoping to take some odor away. A tough job. Didn't work as well as we had hoped, but still pretty good. (if you found this helpful, please click where noted below, and thanks!)"
positive,Was easy to install but instructions for wiring were incorrect. But once installed worked great.
negative,"The reason I bought this sunshade, which is higher priced than many, is because it was supposed to be an exact fit for the model and year of my car.  The height is nearly exact, but the width is too long, and the cutout for the rearview mirror is overly large.  Also, the windshield visors are about all that keeps it in place, and even with them the sunshade is not flush with the window, but has a considerable gap between it an the glass.<br />It will surely block a light of light, though, but about anything could do that."
positive,"Part arrived the most quickly of all the places we attempted to order it from.  My college age son was able to install this himself.  He is not a mechanic, but he is not afraid to attempt a fix on broken things.  The part worked perfectly, and he was able to pass his car inspection."
positive,Perfect size for my car. The plastic inner protection is a must. I like it!
positive,"Frequently bought together? Yea right. Smoked lens, yea right.  Way off. These things are an eye sore on the front and rear of the bike. Now I have to tint them with some spray. Smoke colored,  how about fog colored..."
positive,looks cool my daughter loves it only complaint is no wind resistance it bends the antenna while driving
positive,"After my factory floor mats weren't doing the job I decided to get some aftermarket mats. I did some research and the results were Weathertech or Husky. After reading some reviews on a Subaru forum I decided to buy the Huskys. The fit is great, there are only a couple of areas were the mat doesn't hit the carpet snugly. The gas cap release is covered, but I can either lift the edge of the mat up or cut that section (it's marked) open. The underside of these mats, unlike some, have a lot of sharp nibs to help keep the mat in place. After using them over the course of these week, where we had snow and rain, it's amazing what they're keeping from being ground into the carpet of my car - sand, road salt, snow, mud. They look great and are a breeze to clean up - just wipe with a wet rag (don't use armor all or any of that stuff on these!)."
positive,"But the physics makes perfect sense and it was cheap...if a decision is cheap enough and it makes you feel good, then - ummm - go ahead and feel good :-)"
negative,"Idk if you’re supposed to wash this prior to use.. but I just used it straight out of the package and dried the exterior of my car. My paint color is black, and has newly applied caramic coating. and at the time of drying the car it looked fine. Cut to the next morning, and I see my car covered in fine yellow dust!! You can wipe it off with your fingers, but it was sticking to the car pretty well. Like what the heck happened?? Def try buying something more expensive. Also these things are sooo thin.. like idk how they’re supposed to absorb any water. I bought 4 of them and I still could barely dry off my entire car. I’m not sure if I’m using them wrong or all these positive reviews are lying… but I’m def not buying these again"
positive,Fast delivery.  Easy to use - better than the cheapo I had been using.  It attaches very nicely to the value stem.  I've had a few times where I was getting false readings.  But overall I like it.
positive,"Haven't had a chance to install yet, but looks like a nice carburetor, super fast shipping. Will update later"
